Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
76611,A Natural History of the Senses,Diane Ackerman,"Ackerman, Diane",,"=""0679735666""","=""9780679735663""",5,4.15,Vintage,Trade Paperback,352,1991,1990,,2011/11/06,non-fiction,non-fiction (#2),read,,,,1,0
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""1408816032""","=""9781408816035""",4,4.30,Bloomsbury Publishing,Hardcover,352,2011,2011,2018/08/03,2018/08/08,classics,classics (#16),read,,,,1,0
22237161,The Sellout,Paul Beatty,"Beatty, Paul",,"=""0374260508""","=""9780374260507""",0,3.74,"Farrar, Straus and Giroux",Hardcover,289,2015,2015,,2017/09/23,"to-read, literary-fiction","to-read (#21), literary-fiction (#12)",to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,3.91,Penguin Books,Paperback,1023,2003,1615,,2017/09/23,"to-read, classics","to-read (#20), classics (#15)",to-read,,,,0,0
19312,The Brothers Lionheart,Astrid Lindgren,"Lindgren, Astrid","Jill Morgan, Ilon Wikland","=""1930900244""","=""9781930900240""",0,4.35,Purple House Inc,Hardcover,231,2004,1973,,2017/05/29,to-read,to-read (#19),to-read,,,,0,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",4,4.15,Anchor Books,Paperback,311,1998,1985,2011/10/30,2011/10/09,"classics, dystopia","classics (#8), dystopia (#2)",read,,,,2,0
1234382,The Swimmer,John Cheever,"Cheever, John",,"=""0517125870""","=""9780517125878""",0,4.03,Random House Value Publishing,Hardcover,12,1994,1964,,2016/01/01,short-stories,short-stories (#3),read,,,,1,0
23743588,The Midnight Meat Train,Clive Barker,"Barker, Clive","Jeff Buhler, Phil Stokes, Sarah Stokes","=""""","=""""",5,4.13,Dark Regions Press,Hardcover,216,2014,2014,,2015/11/28,"horror, short-stories","horror (#1), short-stories (#2)",read,,,,1,0
703,The Plot Against America,Philip Roth,"Roth, Philip",,"=""1400079497""","=""9781400079490""",0,3.82,Vintage International,Paperback,391,2005,2004,,2017/04/30,to-read,to-read (#18),to-read,,,,0,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.20,New American Library,Mass Market Paperback,328,1950,1948,,2017/04/30,to-read,to-read (#17),to-read,,,,0,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",4,4.02,Plume,Paperback,129,2003,1945,,2015/11/28,"classics, dystopia","classics (#12), dystopia (#3)",read,,,,1,0
34441095,Ties,Domenico Starnone,"Starnone, Domenico",,"=""""","=""""",4,3.95,Europa Editions,Kindle Edition,144,2017,2014,2017/04/01,2017/04/01,literary-fiction,literary-fiction (#11),read,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",0,4.41,Random House,Kindle Edition,208,2016,2016,,2017/01/13,"to-read, non-fiction","to-read (#16), non-fiction (#13)",to-read,,,,0,0
25814394,All the Single Ladies,Rebecca Traister,"Traister, Rebecca",,"=""1476716560""","=""9781476716565""",0,4.00,Simon & Schuster,Hardcover,339,2016,2016,,2017/01/13,"to-read, non-fiction","to-read (#15), non-fiction (#12)",to-read,,,,0,0
11650,American Pastoral,Philip Roth,"Roth, Philip",,"=""""","=""""",0,3.95,Vintage,Paperback,432,1998,1997,,2016/12/21,to-read,to-read (#14),to-read,,,,0,0
28214365,Commonwealth,Ann Patchett,"Patchett, Ann",,"=""0062491792""","=""9780062491794""",4,3.83,Harper,Hardcover,322,2016,2016,,2016/12/21,,,read,,,,1,0
13526165,"Where'd You Go, Bernadette",Maria Semple,"Semple, Maria",,"=""0316204277""","=""9780316204279""",1,3.87,"Little, Brown and Company",Hardcover,330,2012,2012,2016/11/27,2016/11/20,fiction,fiction (#19),read,,,,1,0
3015764,Indignation,Philip Roth,"Roth, Philip",,"=""054705484X""","=""9780547054841""",0,3.78,Houghton Mifflin Harcourt,Hardcover,235,2008,2008,,2016/11/20,to-read,to-read (#13),to-read,,,,0,0
26893819,The Girls,Emma Cline,"Cline, Emma",,"=""081299860X""","=""9780812998603""",1,3.51,Random House,Hardcover,355,2016,2016,,2016/11/12,fiction,fiction (#17),read,,,,1,0
